                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     66,                 1.9488,                0.93344,                0.77235,                0.87761,                0.61719,                 0.6639,                0.29846,                 1.7412,                0.69769,                0.80137,             0.00024214,             0.00024214,             0.00024214
                     67,                 1.9486,                  0.936,                0.76773,                0.89728,                 0.6155,                0.66378,                0.28834,                  1.788,                0.69286,                0.80116,             0.00024037,             0.00024037,             0.00024037
                     68,                  1.942,                0.93387,                0.77182,                0.90146,                0.61741,                 0.6636,                0.30336,                 1.7304,                0.68784,                0.80069,              0.0002386,              0.0002386,              0.0002386
                     69,                  1.948,                0.92173,                0.76797,                 0.8974,                0.59322,                 0.6565,                0.27974,                 1.8404,                0.74914,                 0.8027,             0.00023683,             0.00023683,             0.00023683
                     70,                 1.9721,                   0.94,                0.76918,                 0.9027,                 0.6296,                0.67742,                0.30748,                 1.7168,                0.66422,                0.79887,             0.00023507,             0.00023507,             0.00023507
                     71,                 1.9509,                0.92117,                0.77274,                0.91512,                0.62929,                0.68355,                0.30025,                 1.7354,                0.67826,                0.79983,              0.0002333,              0.0002333,              0.0002333
                     72,                  1.963,                0.92535,                0.77225,                0.90512,                0.61803,                0.66966,                0.29306,                 1.7527,                0.68937,                    0.8,             0.00023153,             0.00023153,             0.00023153
                     73,                 1.9158,                0.88802,                0.77169,                0.90465,                0.61878,                0.67308,                0.30307,                 1.7306,                0.66339,                0.80309,             0.00022977,             0.00022977,             0.00022977
                     74,                 1.9373,                0.90187,                0.76981,                0.88757,                0.60647,                0.66493,                0.30362,                 1.7388,                0.71283,                0.79924,               0.000228,               0.000228,               0.000228
                     75,                 1.9337,                0.91854,                 0.7712,                0.89656,                0.61469,                0.66738,                0.29753,                 1.7321,                0.67299,                0.80093,             0.00022623,             0.00022623,             0.00022623
                     76,                 1.9249,                0.90611,                 0.7732,                0.90458,                 0.6162,                 0.6714,                0.29324,                 1.7627,                0.68598,                0.80068,             0.00022446,             0.00022446,             0.00022446
                     77,                 1.9525,                0.91518,                0.77062,                0.90761,                0.62401,                0.68104,                0.30262,                 1.7489,                0.68419,                0.80096,              0.0002227,              0.0002227,              0.0002227
                     78,                 1.9241,                0.89028,                0.76496,                0.88712,                0.62541,                0.68237,                0.31007,                 1.7192,                0.66926,                0.79782,             0.00022093,             0.00022093,             0.00022093
                     79,                 1.9184,                0.88955,                0.77421,                0.89476,                0.62496,                0.67862,                  0.314,                  1.679,                0.65254,                0.79802,             0.00021916,             0.00021916,             0.00021916
                     80,                 1.9047,                0.88547,                0.76233,                0.91719,                0.62901,                0.68623,                 0.3076,                 1.7403,                0.69308,                0.80053,              0.0002174,              0.0002174,              0.0002174
                     81,                 1.9284,                0.88407,                0.77014,                0.91716,                0.62978,                0.68736,                0.31329,                 1.7084,                0.64893,                0.79962,             0.00021563,             0.00021563,             0.00021563
                     82,                 1.8957,                0.87656,                 0.7633,                0.90232,                0.62523,                0.67383,                0.30235,                 1.6964,                0.65267,                0.80151,             0.00021386,             0.00021386,             0.00021386
